EV Number/ID,X [px],Y [px],Frame/Slice
1,960,846,1
1,967,867,2
1,980,896,3
1,991,928,4
1,1000,964,5
2,22,206,14
2,104,142,15
2,177,70,16
3,69,107,24
3,145,34,25
4,40,766,59
4,136,764,60
4,222,765,61
4,300,770,62
4,366,773,63
5,615,993,117
5,663,1026,118
5,704,1066,119
5,743,1112,120
5,779,1164,121
6,850,935,138
6,874,967,139
6,894,1010,140
6,915,1056,141
6,936,1108,142
6,954,1166,143
7,184,591,241
7,273,569,242
7,351,550,243
7,420,530,244
7,481,507,245
7,536,486,246
7,585,461,247
7,667,410,249
7,701,381,250
7,730,350,251
7,757,320,252
7,782,285,253
7,802,246,254
7,820,205,255
7,834,162,256
7,847,115,257
7,857,60,258
8,723,260,215
8,745,218,216
8,767,176,217
8,781,133,218
8,795,83,219
8,806,31,220
9,82,383,333
9,165,340,334
9,236,296,335
9,301,249,336
9,359,196,337
9,409,144,338
9,452,87,339
9,494,25,340
10,114,461,393
10,200,424,394
10,274,385,395
10,340,345,396
10,400,306,397
10,451,260,398
10,500,215,399
10,537,165,400
10,572,111,401
10,602,52,402
11,78,376,411
11,158,333,412
11,230,287,413
11,293,241,414
11,350,189,415
11,400,134,416
11,443,77,417
11,480,13,418
12,100,509,447
12,189,481,448
12,266,449,449
12,334,417,450
12,395,381,451
12,451,345,452
12,498,307,453
12,540,266,454
12,577,224,455
12,610,177,456
12,638,126,457
12,663,70,458
13,8,326,474
13,95,274,475
13,172,221,476
13,239,168,477
13,301,105,478
13,353,42,479
14,63,654,495
14,162,637,496
14,248,622,497
14,326,608,498
14,394,592,499
14,456,577,500
