EV Number/ID,X [px],Y [px],Frame/Slice
1,640,883,243
1,592,894,244
1,545,906,245
1,502,920,246
1,462,936,247
2,1114,812,18
2,1035,821,19
2,962,835,20
2,896,847,21
2,832,862,22
2,771,879,23
2,714,896,24
2,661,919,25
2,612,939,26
2,560,960,27
2,514,981,28
2,470,1002,29
2,430,1025,30
2,395,1051,31
2,363,1078,32
2,336,1106,33
2,310,1139,34
2,283,1174,35
3,1187,382,123
3,1118,373,124
3,1051,362,125
3,987,357,126
3,926,347,127
3,866,337,128
3,805,318,129
3,745,297,130
3,682,264,131
3,625,229,132
3,575,190,133
3,533,152,134
3,495,113,135
3,460,73,136
3,424,40,137
4,1076,462,170
4,1006,448,171
4,939,433,172
4,876,422,173
5,503,825,216
5,463,829,217
5,427,832,218
5,383,837,219
5,336,844,220
5,284,853,221
5,240,870,222
5,205,882,223
5,172,894,224
5,142,908,225
6,1126,358,242
6,1048,340,243
6,979,323,244
7,1136,750,258
7,1061,760,259
7,990,766,260
7,928,777,261
7,864,784,262
7,806,791,263
7,750,802,264
7,704,812,265
7,659,821,266
7,614,831,267
7,574,840,268
7,540,848,269
7,506,856,270
7,474,865,271
7,443,870,272
7,411,877,273
8,1182,847,357
8,1087,879,358
8,996,906,359
8,909,933,360
8,824,956,361
8,746,972,362
8,676,987,363
8,619,1000,364
8,570,1012,365
