EV Number/ID,X [px],Y [px],Frame/Slice
1,25,653,16
1,87,656,17
1,146,656,18
1,198,659,19
1,249,660,20
1,297,662,21
1,341,661,22
1,385,660,23
1,426,661,24
1,464,663,25
1,500,661,26
1,531,661,27
1,563,663,28
1,594,664,29
1,620,665,30
1,648,663,31
1,673,664,32
1,700,664,33
1,723,665,34
1,744,666,35
1,763,663,36
1,783,663,37
1,802,664,38
1,818,662,39
1,834,661,40
1,851,659,41
1,866,659,42
1,882,657,43
1,894,658,44
1,909,655,45
1,918,653,46
1,928,652,47
1,938,651,48
1,947,649,49
1,956,648,50
1,962,642,51
1,973,641,52
1,982,638,53
1,990,635,54
1,996,631,55
1,1004,628,56
1,1010,625,57
1,1016,622,58
1,1022,618,59
1,1026,613,60
1,1030,607,61
1,1036,603,62
1,1042,598,63
1,1047,591,64
1,1052,584,65
1,1057,578,66
1,1060,574,67
1,1064,566,68
1,1069,560,69
2,122,524,1
2,178,520,2
2,231,514,3
2,283,511,4
2,330,504,5
2,374,496,6
2,418,491,7
2,458,481,8
2,497,473,9
2,534,462,10
2,565,451,11
2,603,441,12
2,667,416,13
2,694,403,14
2,721,389,15
2,746,374,16
2,770,358,17
2,794,342,18
2,815,322,19
2,835,306,20
2,854,285,21
2,873,266,22
2,893,242,23
2,905,220,24
2,921,196,25
2,934,170,26
2,949,144,27
2,961,116,28
2,970,85,29
2,985,53,30
2,993,18,31
3,44,196,19
3,104,172,20
3,162,152,21
3,220,126,22
3,264,100,23
3,316,70,24
3,362,42,25
4,20,936,54
4,76,954,55
4,121,970,56
4,170,988,57
4,216,1006,58
4,256,1025,59
4,296,1044,60
4,332,1064,61
4,372,1084,62
4,407,1107,63
4,440,1130,64
4,471,1156,65
4,501,1179,66
5,346,410,120
5,380,399,121
5,424,385,122
5,462,374,123
5,496,358,124
5,527,345,125
5,556,327,126
5,585,312,127
5,614,295,128
5,639,274,129
5,665,256,130
5,691,237,131
5,713,209,132
5,736,188,133
5,760,163,134
5,780,137,135
5,801,109,136
5,820,81,137
6,302,808,130
6,299,810,131
6,338,817,132
6,377,825,133
6,446,844,134
6,479,858,135
6,508,864,136
6,541,877,137
6,568,889,138
6,596,901,139
6,620,912,140
6,646,925,141
6,672,940,142
6,693,954,143
6,714,968,144
7.1,520,372,273
7.1,540,361,274
7.1,561,342,275
7.1,580,328,276
7.1,600,313,277
7.1,616,296,278
7.1,635,281,279
7.1,651,262,280
7.1,667,244,281
7.1,687,226,282
7.1,704,203,283
7.1,714,181,284
7.1,732,159,285
7.1,744,138,286
7.1,759,113,287
7.1,770,90,288
7.1,783,62,289
7.1,796,31,290
7.2,184,666,297
7.2,224,669,298
7.2,262,670,299
7.2,300,675,300
7.2,334,679,301
7.2,366,677,302
7.2,400,679,303
7.2,434,684,304
7.2,460,680,305
7.2,491,686,306
7.2,517,687,307
7.2,541,692,308
7.2,565,693,309
7.2,591,697,310
7.2,614,701,311
7.2,637,702,312
7.2,655,704,313
7.2,677,709,314
7.2,697,708,315
